Date,Time,Sail Number,Speed (kts),Wind Speed,Gust Speed,Ratio
1998-10-09,16:46:12,18,6.954,15.00,0.00,0.464
1998-10-09,16:47:13,11,23.501,13.00,0.00,1.808
1998-10-09,16:47:45,905,18.039,13.00,0.00,1.388
1998-10-09,16:47:52,27,19.929,13.00,0.00,1.533
1998-10-09,16:49:41,111,15.633,15.00,0.00,1.042
1998-10-09,16:49:50,101,18.224,12.00,0.00,1.519
1998-10-09,16:50:13,138,25.461,18.00,0.00,1.414
1998-10-09,16:51:49,30,2.687,12.00,0.00,0.224
1998-10-09,16:51:54,27,20.087,13.00,0.00,1.545
1998-10-09,16:52:57,11,23.629,15.00,0.00,1.575
1998-10-09,16:54:04,138,25.912,17.00,0.00,1.524
1998-10-09,16:55:02,18,8.983,16.00,0.00,0.561
1998-10-09,16:55:12,27,20.505,14.00,0.00,1.465
1998-10-09,16:56:00,905,21.270,16.00,0.00,1.329
1998-10-09,16:56:12,584,19.907,14.00,0.00,1.422
1998-10-09,16:57:11,101,20.270,18.00,0.00,1.126
1998-10-09,16:57:44,138,26.613,17.00,0.00,1.565
1998-10-09,16:58:24,17,20.674,15.00,0.00,1.378
1998-10-09,16:59:15,711,24.243,16.00,0.00,1.515
1998-10-09,16:59:26,27,22.864,18.00,0.00,1.270
1998-10-09,16:59:43,111,20.553,15.00,0.00,1.370
1998-10-09,17:00:47,11,24.511,13.00,0.00,1.885
1998-10-09,17:00:58,138,24.996,15.00,0.00,1.666
1998-10-09,17:01:29,905,20.993,14.00,0.00,1.500
1998-10-09,17:02:36,27,21.295,18.00,0.00,1.183
1998-10-09,17:02:45,18,10.784,17.00,0.00,0.634
1998-10-09,17:04:20,11,24.612,16.00,0.00,1.538
1998-10-09,17:05:08,711,22.953,14.00,0.00,1.639
1998-10-09,17:05:24,138,24.612,11.00,0.00,2.237
1998-10-09,17:05:41,47,25.722,11.00,0.00,2.338
1998-10-09,17:05:43,30,14.364,12.00,0.00,1.197
1998-10-09,17:06:25,17,20.771,19.00,0.00,1.093
