Sail Number,Name,Time,Speed (kts),Wind
169,Austin Hind,13:56:50,24.74,19
169,Austin Hind,12:17:16,24.54,0
169,Austin Hind,13:47:21,22.95,19
171,Sean Carroll,12:29:49,29.4,28
171,Sean Carroll,14:15:29,28.59,19
171,Sean Carroll,14:05:03,28.3,30
171,Sean Carroll,15:54:11,28.22,22
171,Sean Carroll,16:01:42,28.18,26
171,Sean Carroll,12:05:47,27.85,30
171,Sean Carroll,13:57:32,27.73,27
171,Sean Carroll,12:14:51,27.69,24
171,Sean Carroll,14:29:15,27.37,28
171,Sean Carroll,13:48:20,26.47,28
171,Sean Carroll,16:20:21,26.16,26
171,Sean Carroll,16:38:04,26.12,14
171,Sean Carroll,16:29:59,26.01,24
180,John Sanderson,13:22:52,34.55,18
180,John Sanderson,13:31:05,34.29,25
180,John Sanderson,11:48:49,34.09,32
180,John Sanderson,15:11:51,33.63,31
180,John Sanderson,15:28:33,32.94,27
180,John Sanderson,13:18:10,32.94,19
180,John Sanderson,12:30:20,32.86,27
180,John Sanderson,11:41:51,32.74,22
180,John Sanderson,15:18:55,32.72,26
180,John Sanderson,15:34:23,32.55,29
180,John Sanderson,14:12:55,32.5,19
180,John Sanderson,13:52:50,32.5,30
180,John Sanderson,14:22:10,32.02,25
180,John Sanderson,15:49:20,32.01,17
180,John Sanderson,16:42:53,31.86,27
180,John Sanderson,16:11:08,31.6,29
180,John Sanderson,16:26:01,31.55,24
180,John Sanderson,14:08:07,31.49,25
180,John Sanderson,16:16:50,31.09,28
180,John Sanderson,12:08:37,30.98,20
180,John Sanderson,13:44:51,30.65,20
180,John Sanderson,15:56:15,26.22,24
181,Peter Martin,13:24:11,31.85,30
181,Peter Martin,13:17:46,31.75,22
181,Peter Martin,12:24:38,31.55,21
181,Peter Martin,13:53:36,31.49,22
181,Peter Martin,12:13:34,31.28,25
181,Peter Martin,11:56:54,31.18,21
181,Peter Martin,14:04:43,30.88,30
181,Peter Martin,14:16:06,30.64,20
181,Peter Martin,12:03:22,30.38,21
181,Peter Martin,13:43:04,29.48,22
181,Peter Martin,15:36:55,28.99,26
187,Pete McCall,13:24:35,28.81,23
187,Pete McCall,14:16:23,27.82,25
187,Pete McCall,14:08:50,27.65,28
187,Pete McCall,13:35:47,27.62,22
187,Pete McCall,13:51:22,27.38,23
187,Pete McCall,14:28:12,27.23,20
187,Pete McCall,14:01:02,27.03,26
187,Pete McCall,12:25:00,26.9,25
187,Pete McCall,14:23:35,26.7,34
187,Pete McCall,13:42:59,26.44,30
187,Pete McCall,12:18:24,24.93,25
188,Roger Crab,11:37:38,26.68,20
190,Martin Waldron,14:09:21,29.07,26
190,Martin Waldron,14:27:37,28.73,21
190,Martin Waldron,11:36:31,28.61,28
190,Martin Waldron,13:54:54,28.06,26
190,Martin Waldron,12:06:48,27.48,16
190,Martin Waldron,12:19:32,26.94,21
206,Martin Allman,12:25:31,27.01,27
206,Martin Allman,15:40:45,26.85,27
206,Martin Allman,13:51:42,26.7,25
206,Martin Allman,12:04:39,26.68,27
206,Martin Allman,13:43:16,26.29,25
206,Martin Allman,15:48:55,26.02,35
206,Martin Allman,16:21:47,25.91,25
206,Martin Allman,16:49:15,25.81,24
206,Martin Allman,13:59:02,25.77,22
206,Martin Allman,16:14:55,25.36,21
206,Martin Allman,16:28:29,25.36,25
206,Martin Allman,16:41:11,25.2,26
206,Martin Allman,12:13:03,24.38,24
206,Martin Allman,15:55:33,24.09,24
206,Martin Allman,16:36:07,23.45,20
206,Martin Allman,14:15:19,23.45,21
206,Martin Allman,16:06:18,21.46,25
211,Jamie Walker,13:24:56,30.06,21
211,Jamie Walker,13:31:47,29.65,23
211,Jamie Walker,13:18:40,28.51,20
211,Jamie Walker,14:03:15,28.35,25
211,Jamie Walker,14:19:42,28.18,22
211,Jamie Walker,13:49:40,28.09,28
211,Jamie Walker,13:38:40,28.06,30
211,Jamie Walker,12:26:20,28.01,20
211,Jamie Walker,12:21:31,27.72,26
211,Jamie Walker,15:36:15,27.69,25
211,Jamie Walker,16:22:22,27.33,18
211,Jamie Walker,16:44:32,27.3,27
211,Jamie Walker,16:18:21,26.96,23
211,Jamie Walker,16:35:41,24.93,23
211,Jamie Walker,14:12:02,17.8,24
215,George Warren,11:47:53,31.43,29
215,George Warren,11:26:50,31.08,23
215,George Warren,11:41:28,31.03,28
215,George Warren,11:56:01,30.19,20
215,George Warren,15:42:08,29.34,23
215,George Warren,13:58:08,29.29,26
215,George Warren,15:52:22,28.99,25
215,George Warren,11:16:14,28.65,19
215,George Warren,14:23:51,28.56,21
215,George Warren,16:41:30,28.47,22
215,George Warren,14:11:02,27.49,17
215,George Warren,13:45:19,27.42,23
215,George Warren,16:28:03,27.38,26
215,George Warren,16:17:54,27.23,29
215,George Warren,16:10:08,26.81,24
330,Alistair Williams,13:41:42,29.93,18
330,Alistair Williams,14:30:04,29.69,24
330,Alistair Williams,13:51:09,29.11,16
330,Alistair Williams,12:25:19,29.09,23
330,Alistair Williams,14:18:41,1.05,36
332,Mike Coombes,13:27:42,27.73,24
332,Mike Coombes,13:45:58,26.05,23
332,Mike Coombes,13:06:39,25.03,23
333,David Barnard,13:23:16,29.7,20
333,David Barnard,11:43:40,28.95,30
333,David Barnard,15:17:50,28.3,20
333,David Barnard,13:53:04,27.66,28
333,David Barnard,15:00:45,27.3,26
349,Brian Warner,13:47:14,23.65,24
349,Brian Warner,14:05:26,23.28,24
349,Brian Warner,12:21:36,21.06,26
381,Nick Beaney,12:23:33,32.3,25
381,Nick Beaney,11:54:52,32.13,23
381,Nick Beaney,12:00:23,31.7,21
381,Nick Beaney,12:11:19,31.65,34
381,Nick Beaney,13:24:40,31.39,27
381,Nick Beaney,13:06:13,31.34,30
381,Nick Beaney,14:10:17,31.28,23
381,Nick Beaney,15:34:46,30.99,28
381,Nick Beaney,13:32:27,30.89,25
381,Nick Beaney,14:22:03,30.89,21
381,Nick Beaney,13:58:27,30.74,19
381,Nick Beaney,12:16:37,30.49,26
381,Nick Beaney,14:28:51,30.45,25
381,Nick Beaney,15:07:22,30.44,22
381,Nick Beaney,15:12:50,30.4,23
381,Nick Beaney,14:15:16,30.31,29
381,Nick Beaney,13:16:25,30.3,25
381,Nick Beaney,16:02:55,30.21,27
381,Nick Beaney,14:05:20,30.21,22
381,Nick Beaney,15:20:46,30.21,23
381,Nick Beaney,16:55:46,30.21,19
381,Nick Beaney,16:27:42,30.07,18
381,Nick Beaney,13:38:19,30.02,28
381,Nick Beaney,15:42:58,29.7,21
381,Nick Beaney,13:11:36,29.65,20
381,Nick Beaney,15:55:31,29.61,29
381,Nick Beaney,13:45:24,29.6,24
381,Nick Beaney,16:52:38,29.52,25
381,Nick Beaney,12:06:02,29.5,25
381,Nick Beaney,16:41:36,29.42,26
381,Nick Beaney,16:34:04,29.38,21
381,Nick Beaney,13:51:57,29.2,27
381,Nick Beaney,16:49:00,29.16,24
381,Nick Beaney,16:07:37,28.9,23
381,Nick Beaney,16:45:42,28.85,20
381,Nick Beaney,16:23:12,28.6,30
381,Nick Beaney,15:48:46,28.59,22
381,Nick Beaney,16:19:27,28.47,28
381,Nick Beaney,16:59:36,27.85,6
381,Nick Beaney,16:38:10,27.81,23
381,Nick Beaney,16:14:58,25.77,22
413,Neil Hardwick,13:16:53,31.39,21
413,Neil Hardwick,12:15:02,30.98,19
413,Neil Hardwick,12:26:25,30.68,20
413,Neil Hardwick,15:53:00,30.02,21
413,Neil Hardwick,11:57:10,29.59,18
413,Neil Hardwick,12:03:43,29.36,27
413,Neil Hardwick,13:27:33,29.2,26
413,Neil Hardwick,11:33:37,29.13,22
413,Neil Hardwick,15:28:18,28.9,23
413,Neil Hardwick,16:19:34,28.89,26
413,Neil Hardwick,16:02:08,28.81,22
413,Neil Hardwick,14:17:13,28.77,24
413,Neil Hardwick,13:57:08,28.64,18
434,Stephen Thorpe,13:33:05,33.76,28
434,Stephen Thorpe,14:25:25,33.4,21
434,Stephen Thorpe,13:53:45,33.17,26
434,Stephen Thorpe,15:19:34,32.89,29
434,Stephen Thorpe,13:48:36,32.73,26
434,Stephen Thorpe,13:19:59,32.72,25
434,Stephen Thorpe,14:06:55,32.61,20
434,Stephen Thorpe,14:13:11,32.45,17
434,Stephen Thorpe,16:02:41,32.44,21
434,Stephen Thorpe,15:32:23,32.28,23
434,Stephen Thorpe,13:11:21,32.28,20
434,Stephen Thorpe,15:27:09,32.17,30
434,Stephen Thorpe,12:22:28,32.13,25
434,Stephen Thorpe,13:40:28,31.86,21
434,Stephen Thorpe,14:01:11,31.64,23
434,Stephen Thorpe,15:39:27,31.6,27
434,Stephen Thorpe,12:03:49,31.28,24
434,Stephen Thorpe,11:57:56,31.08,22
434,Stephen Thorpe,16:21:33,31.03,29
434,Stephen Thorpe,15:46:49,30.94,31
434,Stephen Thorpe,13:26:37,30.94,25
434,Stephen Thorpe,12:15:43,30.83,24
434,Stephen Thorpe,15:54:44,30.54,24
434,Stephen Thorpe,16:33:56,29.25,18
434,Stephen Thorpe,16:26:59,29.03,26
434,Stephen Thorpe,12:09:58,28.95,27
434,Stephen Thorpe,16:16:09,28.18,31
434,Stephen Thorpe,16:38:47,25.63,19
480,Tony Ireland,14:00:38,28.85,31
480,Tony Ireland,11:45:53,28.56,30
480,Tony Ireland,12:22:41,28.13,34
480,Tony Ireland,13:50:15,28.1,22
480,Tony Ireland,13:40:00,28.06,26
480,Tony Ireland,12:31:07,27.97,26
480,Tony Ireland,12:16:07,27.81,26
480,Tony Ireland,14:09:09,27.7,24
480,Tony Ireland,14:17:49,27.53,25
555,Claude Van-Martyn,11:34:23,29.67,23
555,Claude Van-Martyn,12:24:10,29.44,26
555,Claude Van-Martyn,11:45:00,28.91,27
555,Claude Van-Martyn,11:22:35,28.9,22
555,Claude Van-Martyn,11:52:53,28.65,28
555,Claude Van-Martyn,12:06:14,28.51,21
555,Claude Van-Martyn,12:13:59,28.17,24
555,Claude Van-Martyn,13:53:22,28.13,20
555,Claude Van-Martyn,14:26:08,27.49,22
555,Claude Van-Martyn,15:03:46,27.07,26
555,Claude Van-Martyn,14:14:38,26.81,29
555,Claude Van-Martyn,16:56:42,26.55,21
555,Claude Van-Martyn,16:48:44,25.59,17
555,Claude Van-Martyn,16:24:19,25.39,25
555,Claude Van-Martyn,16:40:17,24.22,23
555,Claude Van-Martyn,16:31:31,23.59,16
559,Tony Attfield,15:50:28,31.39,34
559,Tony Attfield,16:17:41,31.34,20
559,Tony Attfield,15:12:41,31.03,24
559,Tony Attfield,15:04:39,31.03,29
559,Tony Attfield,16:01:57,30.65,20
559,Tony Attfield,15:55:46,30.54,19
559,Tony Attfield,14:05:11,30.45,24
559,Tony Attfield,15:43:44,30.21,31
559,Tony Attfield,13:56:45,29.98,19
559,Tony Attfield,15:39:36,29.94,20
559,Tony Attfield,11:39:33,28.77,33
559,Tony Attfield,13:45:36,28.76,21
604,Tony Morris,15:15:55,32.67,22
604,Tony Morris,15:27:15,31.54,27
604,Tony Morris,15:34:31,30.74,31
604,Tony Morris,15:45:18,30.69,18
604,Tony Morris,15:05:49,30.16,18
604,Tony Morris,15:54:53,30.06,29
604,Tony Morris,16:08:15,29.2,24
604,Tony Morris,16:27:14,29.07,25
604,Tony Morris,14:11:43,28.95,20
609,Stacey Vass,11:50:33,29.13,25
609,Stacey Vass,11:39:47,27.81,30
622,Jeremy Waitt,15:14:01,30.99,16
622,Jeremy Waitt,15:25:48,30.74,19
622,Jeremy Waitt,15:18:33,30.69,20
622,Jeremy Waitt,16:18:46,30.35,22
622,Jeremy Waitt,15:39:44,30.35,24
622,Jeremy Waitt,15:34:03,30.35,23
622,Jeremy Waitt,16:12:23,30.02,29
622,Jeremy Waitt,15:50:06,30.02,25
622,Jeremy Waitt,15:44:58,29.93,31
622,Jeremy Waitt,16:06:15,29.29,27
622,Jeremy Waitt,15:55:40,28.85,25
622,Jeremy Waitt,16:38:58,28.26,30
622,Jeremy Waitt,16:27:31,26.92,20
622,Jeremy Waitt,16:33:16,23.51,25
625,Nigel Bowley,12:28:51,36.1,30
625,Nigel Bowley,11:50:08,35.96,20
625,Nigel Bowley,13:28:58,35.42,31
625,Nigel Bowley,15:09:29,34.66,22
625,Nigel Bowley,11:29:09,34.52,25
625,Nigel Bowley,15:25:32,34.49,23
625,Nigel Bowley,15:14:12,34.17,20
625,Nigel Bowley,11:23:21,34.15,17
625,Nigel Bowley,15:49:00,34.06,28
625,Nigel Bowley,13:36:45,33.99,21
625,Nigel Bowley,12:24:01,33.91,19
625,Nigel Bowley,15:18:02,33.81,24
625,Nigel Bowley,16:42:07,33.75,22
625,Nigel Bowley,14:29:42,33.46,28
625,Nigel Bowley,16:56:11,33.3,21
625,Nigel Bowley,15:36:06,32.83,21
625,Nigel Bowley,16:09:06,32.66,26
625,Nigel Bowley,15:31:28,32.34,25
625,Nigel Bowley,16:13:42,31.64,23
625,Nigel Bowley,16:38:14,31.6,18
625,Nigel Bowley,15:56:55,29.34,28
625,Nigel Bowley,16:35:17,29.02,22
651,Orlando Lavandera,13:28:23,31.03,27
651,Orlando Lavandera,16:46:20,30.36,24
651,Orlando Lavandera,12:24:24,30.35,21
651,Orlando Lavandera,13:59:10,30.17,17
651,Orlando Lavandera,14:08:02,30.07,21
651,Orlando Lavandera,13:37:15,29.69,23
651,Orlando Lavandera,13:49:50,29.47,24
651,Orlando Lavandera,14:17:32,29.25,30
651,Orlando Lavandera,16:39:57,29.11,27
651,Orlando Lavandera,11:51:00,28.77,24
651,Orlando Lavandera,16:26:47,28.38,15
666,Matthew Burridge,13:21:39,31.49,23
666,Matthew Burridge,14:07:32,29.56,23
666,Matthew Burridge,13:35:04,29.52,21
666,Matthew Burridge,15:23:12,29.43,25
666,Matthew Burridge,15:38:01,29.43,23
666,Matthew Burridge,13:56:03,29.29,25
666,Matthew Burridge,15:13:07,29.02,30
666,Matthew Burridge,14:22:39,28.94,26
666,Matthew Burridge,11:58:40,28.72,23
666,Matthew Burridge,12:09:51,28.05,31
666,Matthew Burridge,16:08:08,26.48,27
670,Edward Murrell,12:28:30,29.31,19
670,Edward Murrell,11:38:59,29.31,30
670,Edward Murrell,12:00:17,29.09,17
670,Edward Murrell,11:51:08,28.22,28
670,Edward Murrell,14:24:05,27.93,22
670,Edward Murrell,12:17:34,27.72,2
670,Edward Murrell,15:18:51,27.61,24
670,Edward Murrell,14:09:26,27.49,24
670,Edward Murrell,13:57:40,26.4,27
670,Edward Murrell,15:32:54,24.34,30
731,Zara Davis,16:42:37,29.06,20
731,Zara Davis,16:58:35,29.06,20
731,Zara Davis,16:50:22,28.68,24
731,Zara Davis,16:47:50,28.64,29
731,Zara Davis,16:53:14,25.26,23
780,Jane Sanderson,11:12:31,24.6,27
863,Duncan Adam,13:29:45,29.43,29
863,Duncan Adam,13:56:56,28.47,16
863,Duncan Adam,15:25:10,28.42,27
863,Duncan Adam,12:23:17,28.06,27
863,Duncan Adam,12:08:30,27.64,28
863,Duncan Adam,13:39:09,27.34,27
863,Duncan Adam,15:37:46,26.91,29
888,Thor Gustafsson,12:01:33,30.68,21
888,Thor Gustafsson,13:04:38,30.07,23
888,Thor Gustafsson,11:43:56,30,30
888,Thor Gustafsson,12:29:00,29.68,29
888,Thor Gustafsson,13:10:53,29.65,20
888,Thor Gustafsson,12:09:12,29.53,23
888,Thor Gustafsson,11:38:26,29.53,23
888,Thor Gustafsson,13:52:22,29.51,25
888,Thor Gustafsson,11:54:36,29.45,27
888,Thor Gustafsson,15:01:56,29.2,26
888,Thor Gustafsson,14:11:25,29.11,31
888,Thor Gustafsson,15:37:04,29.02,24
888,Thor Gustafsson,12:19:37,28.99,28
888,Thor Gustafsson,13:17:36,28.9,20
888,Thor Gustafsson,15:51:10,28.76,31
888,Thor Gustafsson,11:17:39,28.64,28
888,Thor Gustafsson,16:15:58,28.22,29
888,Thor Gustafsson,13:43:28,28.01,23
888,Thor Gustafsson,13:58:33,28.01,22
888,Thor Gustafsson,16:47:59,27.93,27
888,Thor Gustafsson,11:30:05,27.85,22
888,Thor Gustafsson,16:43:20,27.62,27
888,Thor Gustafsson,16:08:58,27.54,26
888,Thor Gustafsson,16:36:49,27.49,18
888,Thor Gustafsson,16:20:59,27.11,29
888,Thor Gustafsson,16:29:06,26.85,22
888,Thor Gustafsson,15:06:44,26.48,22
945,Sam Gooch,13:51:54,26.12,30
