Sail Number,Finish Time,Speed (kts),Course Angle,Course Length,First Name,Last Name,Craft
292,14:43:00,18.72,100,544,Nic,Dodd,Sailboard
292,15:50:00,18.52,100,544,Nic,Dodd,Sailboard
292,14:30:00,15.21,100,544,Nic,Dodd,Sailboard
292,15:55:00,3.21,100,544,Nic,Dodd,Sailboard
328,13:33:00,21.59,100,544,Adrian,Wallis,Sailboard
328,13:37:00,21.56,100,544,Adrian,Wallis,Sailboard
328,15:26:00,20.87,100,544,Adrian,Wallis,Sailboard
328,13:46:00,20.61,100,544,Adrian,Wallis,Sailboard
328,13:22:00,19.86,100,544,Adrian,Wallis,Sailboard
328,15:31:00,19.44,100,544,Adrian,Wallis,Sailboard
328,14:06:00,19.31,100,544,Adrian,Wallis,Sailboard
328,13:25:00,19.26,100,544,Adrian,Wallis,Sailboard
328,16:01:00,19.13,100,544,Adrian,Wallis,Sailboard
328,13:29:00,18.78,100,544,Adrian,Wallis,Sailboard
328,14:11:00,18.44,100,544,Adrian,Wallis,Sailboard
328,15:55:00,18.19,100,544,Adrian,Wallis,Sailboard
328,15:40:00,18.08,100,544,Adrian,Wallis,Sailboard
328,13:41:00,17.79,100,544,Adrian,Wallis,Sailboard
328,14:01:00,17.77,100,544,Adrian,Wallis,Sailboard
328,13:50:00,17.19,100,544,Adrian,Wallis,Sailboard
328,13:56:00,16.67,100,544,Adrian,Wallis,Sailboard
328,14:17:00,15.32,100,544,Adrian,Wallis,Sailboard
328,15:47:00,2.22,100,544,Adrian,Wallis,Sailboard
349,15:09:00,20.26,100,544,Brian "Bruno",Warner,Sailboard
349,14:55:00,19.84,100,544,Brian "Bruno",Warner,Sailboard
349,15:24:00,11.27,100,544,Brian "Bruno",Warner,Sailboard
349,15:59:00,8.70,100,544,Brian "Bruno",Warner,Sailboard
407,15:16:00,22.96,100,544,Simon,Hinkley,Sailboard
407,15:32:00,22.58,100,544,Simon,Hinkley,Sailboard
407,15:09:00,22.13,100,544,Simon,Hinkley,Sailboard
407,14:51:00,21.94,100,544,Simon,Hinkley,Sailboard
407,15:01:00,18.47,100,544,Simon,Hinkley,Sailboard
407,14:40:00,8.82,100,544,Simon,Hinkley,Sailboard
411,13:35:00,22.87,100,544,Steve,Flanagan,Sailboard
411,15:37:00,21.14,100,544,Steve,Flanagan,Sailboard
411,15:49:00,20.47,100,544,Steve,Flanagan,Sailboard
411,13:45:00,20.03,100,544,Steve,Flanagan,Sailboard
411,14:05:00,19.53,100,544,Steve,Flanagan,Sailboard
411,13:40:00,18.59,100,544,Steve,Flanagan,Sailboard
411,13:50:00,17.03,100,544,Steve,Flanagan,Sailboard
411,12:18:00,4.53,100,544,Steve,Flanagan,Sailboard
555,15:09:00,20.71,100,544,claude,van-martyn,Sailboard
598,14:01:00,22.76,100,544,Michael,Roberts,Sailboard
598,14:01:00,18.04,100,544,Michael,Roberts,Sailboard
598,13:52:00,17.88,100,544,Michael,Roberts,Sailboard
598,13:34:00,17.39,100,544,Michael,Roberts,Sailboard
598,13:42:00,17.36,100,544,Michael,Roberts,Sailboard
703,15:33:00,20.05,100,544,Darrell,Robins,Sailboard
703,15:12:00,19.94,100,544,Darrell,Robins,Sailboard
703,15:00:00,10.71,100,544,Darrell,Robins,Sailboard
708,15:20:00,23.50,100,544,Peter,Young,Sailboard
747,13:35:00,21.68,100,544,Simon,White,Sailboard
747,13:43:00,20.79,100,544,Simon,White,Sailboard
747,13:39:00,19.37,100,544,Simon,White,Sailboard
747,13:58:00,18.43,100,544,Simon,White,Sailboard
